title,bedrooms,price,location,post_time
2 BEDROOMS WALK-IN APT. IN BLDG.,,"$1,750",parkchester,1/10
3 bedroom for the price of 2,,"$1,850",yonkers,1/10
Gorgeous 1237 sq ft 2 bed / 2 bath - Prime location in Elmsford,,"$3,760",elmsford,1/10
Gorgeous Loft Space with renovated kitchen NO FEE,,"$6,500",williamsburg,1/10
Super Spacious modern Apt near 2 and 5 trains and Prospect  Park,,"$2,800","prsopect lefferts gardens, brooklyn",1/10
Gorgeous 2Bed/1Bath + W/D in prime prospect heights! Steps to Park!,,"$3,365",prospect heights,1/10
*Private garden*Light large studio_Laundry_Doorman_Elevator_Pets OK!,,"$3,100",midtown east,1/10
Renovated Large 2BR Across Street from Prospect Park Right B/Q Trains,,"$2,795",prospect park south / flatbush / ditmas park,1/10
1 BEDROOM WALK-UP APT. IN BLDG.,,"$1,450",gunhill road,1/10
Large 1bed/1bath Bushwick luxury apartment move-in March 1 or later,,"$3,050",bushwick,1/10
1 Bedroom Luxury Apartment in Financial District,,"$6,425",financial district,1/10
Spacious studio_Elevator_Laundry!,,"$2,800",midtown east,1/10
LUXURY------PRIME LOCATION--------FITNESS CENTER------ROOF DECK-------,,"$2,900",astoria,1/10
Really large 2 Bedroom across the street from Prospect Park!,,"$2,575",prospect park south/prospectpark,1/10
*Massive Flex 2 bedroom*Elevator_Doorman_Laundry!,,"$4,900",midtown east,1/10
Amazing Deal on a Rent Stabilized Apartment,,"$2,200",bushwick,1/10
1 Bedroom Luxury Apartment in Financial District,,"$6,184",financial district,1/10
2 bedroom apartment on the Lower East Side. NO FEE.,,"$4,295",lower east side,1/10
1 Bd/1 Bth with City + Bridge Views! Modern Finishes. W/D in-unit. Dum,,"$5,241",dumbo,1/10
"Modern One Bedroom, Half a Block to Subway, NO FEES",,"$1,585",castle hill,1/10
Large 2BR w/ Washer & Dryer & Dishwahser in Prime Prospect Heights!!,,"$3,365",prospect heights,1/10
Asap move in 2 bed + office 1 bath apt in Williamsburg near Domino Park,,"$4,600",williamsburg,1/10
Modern 2 Bed w/ Large Bedrooms!!,,"$2,500",bedstuy,1/10
LARGE 3 Bed in the Heart of Bedstuy!!,,"$3,000",bedstuy,1/10
**BRAND NEW** BEAUTIFUL 2Bed 2Ba APARTMENT *W/D IN UNIT* WILLIAMSBURG,,"$3,200",williamsburg,1/10
RIGHT NEXT TO MARIA HERNANDEZ PARK** 2 BEDROOM**NE FEE,,"$2,800",maria hernandez park,1/10
Cosy & Quiet 1 Bedroom in Small Building,,"$1,850",williamsburg,1/10
*Massive Sun soaked Flex 2 bedroom!*Elevator_Doorman_Laundry_Pets OK!,,"$3,600",murray hill,1/10
1 bedroom apartment on the Lower East Side.NO FEE,,"$3,295",lower east side,1/10
SPACIOUS ROOM WITH PRIVATE BATH IN PARK SLOPE,,"$1,200",parkslop,1/10
2 Bedroom 1 bath rental,,"$2,200",north valley stream,1/10
"Studio Loft off Jefferson L -Modern Kitchen, High Ceilings, Laundry",,"$2,450",bushwick,1/10
Large 2 Bedrooms with New Kitchen on Top Floor Overlooking the Park,,"$2,850",prospect park south / flatbush / ditmas park,1/10
Spacious 1 Bedroom with Renovated Kitchen. Across the Street to Prospe,,"$2,195",prospect park south/prospectpark,1/10
Large 1 Bedroom with New Kitchen Right By Prospect Park & B/Q Trains,,"$2,295",prospect park south / flatbush / ditmas park,1/10
"Massive Corner 1 Bed, 1 Bath in FIDI. Renovated & Bright. 1 Month Free",,"$4,185",financial district,1/10
"AC, Video Intercom, Gym, Outdoor Space, Laundry, Lounge, Dishwash",,"$3,600",clinton hill,1/10
Large 2 Bedroom facing Prospect Park! Steps to the Q Train!,,"$2,850",prospect park south/prospectpark,1/10
Large 1BR in Prospect Heights Steps to Grand Army Plaza & Park,,"$2,395",prospect heights / franklin ave,1/10
1 BEDROOM / WASHERY & DRYER / FITNESS CENTER / OPEN VIEWS / CONCIERGE,,"$3,650",battery park,1/10
"AC, Gym, Doorman, Balcony, Laundry, Dishwasher, Garage",,"$4,200",bed-stuy,1/10
STUDIO / OPEN VIEWS / WASHER & DRYER / CONCIERGE / GYM / DISHWASHER /,,"$2,995",financial district,1/10
2 BED 2 BATH LUXURY BUILDING TRIBECA,,"$6,780",tribeca,1/10
ENTIRE*Garden* Furnished 3 Bedroom/2 Bath + Floor thru Basement Duplex,,"$4,775",harlem / morningside,1/10
CORNER UNIT / HIGH FLOOR / RIVER VIEWS / CONCIERGE / GYM / WASHER & DR,,"$3,350",financial district,1/10
No Brokers Fee* Brand New Luxury 1 Bed 1 Bath in Prospect Heights,,"$3,800",prospect heights / brooklyn/ downtown brooklyn,1/10
"Duplex, Shared backyard, Dishwasher, Video Intercom, Basement",,"$3,800",bushwick,1/10
1 Bedroom Apartment for Rent,,"$1,800",richmond hill/ kew gardens,1/10
CITY VIEWS / HIGH CEILINGS / HIGH FLOOR / OVERSIZED WINDOWS / GYM / WA,,"$4,250",financial district,1/10
HIGH CEILINGS / HIGH FLOOR / RIVER VIEWS / CONCIERGE / GYM / WASHER &,,"$3,000",financial district,1/10
CORNER UNIT / HIGH FLOOR / OVERSIZED WINDOWS / GYM & POOL / ROOF DECK,,"$6,600",financial district,1/10
No Fee!! 4 bed+3 bath. Good Deall!!,,"$7,850",gramercy,1/10
PVT TERRACE / DISHWASHER / HIGH CEILINGS / GYM & B-BALL COURT / ROOF D,,"$6,995",financial district,1/10
PVT TERRACE / GYM & POOL / ROOF DECK / RESIDENTS LOUNGE / WASHER & DRY,,"$4,120",financial district,1/10
"Laundry, Video Intercom, AC, Stainless Steel Appliances",,"$2,975",crown heights,1/10
1 Bedroom/Studio Apartment for Rent,,"$1,650",richmond hill/kew gardens,1/10
impressive 2-bedroom NO FEE,,"$2,800",bushwick,1/10
"Laundry, Central AC, Stainless Steel, Shared Backyard",,"$3,600",williamsburg,1/10
NO FEE!! 2 Bed with Private Garden!! Good Deal!! W/D in unit!! Virtual,,"$5,300",gramercy,1/10
1 Bedroom Apartment for Rent,,"$1,800",richmond hill/kew gardens,1/10
One Bdrm,,"$1,325",fordham vincinity,1/10
NO FEE!! 3 Bed +2 Bath. Good Deal!! W/D in unit!! Virtual Doorman and,,"$6,300",gramercy,1/10
3 Bedroom Apartment,,"$2,500",woodside,1/10
Hot deal Spacious 2 bed 1 bath in Bushwick,,"$2,700",bushwick,1/10
Spacious 2 Bedroom in Prime Prospect Heights!,,"$3,000",prospect heights/prospect park,1/10
Huge 1 Bedroom with Laundry in building close to Prospect Park!,,"$2,295",prospect park south/prospectpark,1/10
1 BED WITH HOME OFFICE  LUXURY 24 HOUR DOORMAN/ELEVATOR BUILDING! FREE,,"$4,400",financial district,1/10
Crown heights / Bed-Stuy - Beautiful 2 Bedroom - Laundry - Dishwasher,,"$3,075",clinton hill / bed-stuy / crown heights,1/10
Charming Tudor House - Bronxville Vicinity - Bryn Mawr,,"$3,600",westchester,1/10
★★★ Norwalk 3 Bed 1.5 Bath Apartment★★★,,"$2,800",norwalk,1/10
Columbia University 3BD/2BA Brand New Luxury Bldg No Fee!,,"$5,700",upper west side,1/10
BEAUTIFUL APARTMENT NEAR SHORE ROAD,,"$2,800",brooklyn,1/10
"Huge 3 bed , prime williamsburg , open house today",,"$3,800",williamsburg,1/10
MASSIVE #### RENOVATED **** CITY VIEWS ^^^^ NO FEE !!!!,,"$2,950",battery park,1/10
**BEAUTIFUL 2 BED/ 1 BATH APARTMENT IN PRIME WILLIAMSBURG**,,"$2,700",williamsburg,1/10
2 Bedroom/1 Bathroom,,"$2,200","west harrison, ny",1/10
ENTIRE*Garden* Furnished 3 Bedroom/2 Bath + Floor thru Basement Duplex,,"$4,750",harlem / morningside,1/10
Stunning 2 Bed in Prime Bushwick!!,,"$2,800",bushwick,1/10
🌟 Beautiful 2 Bedroom Apartment in Bushwick! $2800!,,"$2,800",bushwick,1/10
Nice  second floor walking distance to USB,,"$2,800",elmont,1/10
🌟 Huge Bedstuy 3 Bedroom! $3000,,"$3,000",bedstuy,1/10
**GORGEOUS SUNNY 3 BED/ 1 BATH APT IN PRIME PARK SLOPE**NO FEE**,,"$4,000",park slope,1/10
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/10
🌟Massive Crown Heights 3 bed 2 bath! $3250!,,"$3,250",crown heights,1/10
🌟 Awesome 2 Bedroom Apartment located in Bedstuy! $2400,,"$2,400",bedstuy,1/10
🌟Awesome 3 bed 2 bath in Prime Bushwick! $3500!,,"$3,500",bushwick,1/10
"$4,000 Brand New Luxury Harlem High Rise- Now Leasing - NO FEE!!",,"$4,000",harlem / morningside,1/10
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2950,,"$2,950",brooklyn,1/10
**APARTMENT FOR RENT IN FRESH MEADOWS**,,"$1,800",fresh meadows,1/10
Bushwick / BedStuy - Beautiful 1 Bedroom - No fee,,"$2,200",bushwick,1/10
Large Corner______Windows in all rooms________extra storage_,,"$3,878",financial district,1/10
**WAY UNDERPRICED** 1 BED ON PROSPECT PARK! LAUNDRY IN BUILDING!!,,"$1,995",prospect park/lefferts gardens,1/10
** 3 BED ^ONE TIME DEAL^ *LAUNDRY* GRAND ARMY PLAZA!!,,"$4,450",prospect heights,1/10
*MONSTER*! RENOVATED 2 BED  UNDERPRICED! LOCATION!!!!!,,"$2,850",crown heights/prospect park-lefferts gardens,1/10
"**GUT RENO 3 BED 2 BATH, PRIVATE OUTDOOR SPACE!!",,"$3,750",prospect lefferts gardens,1/10
**STUNNING 3 BED/ 1.5 BATH APT WITH PRIVATE PORCH IN BUSHWICK**,,"$4,000",bushwick,1/10
Beautiful 1 Bedroom/1 Bath  Apartmemt,,"$2,200",bushwick,1/10
"Spacious 2 Bed, 2 Bath in FIDI. River + Bridges Views! 1 Month Free!",,"$5,945",financial district,1/10
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",,"$2,118",stamford,1/10
Central Park!!! harlem studio w/d in building high ceilings avail now!,,"$2,000",new york,1/10
"Let us help you find your next home! Check out this 2 bed, 2 bath!",,"$2,964",elmsford,1/10
furnished large alcove studio/one bedroom **NO FEE**,,"$2,950",upper east side,1/10
"Flatbush / PLG - Beautiful 1 Bedroom, Large, Laundry, Roof",,"$2,200",flatbush / plg,1/10
Cozy one bed one bath apartment with a huge patio 2 months free Williamsburg,,"$3,778",williamsburg,1/10
Stunning 2 bed 2 bath apt in Dumbo,,"$7,000",dumbo,1/10
Renovated 3-BR Apt (W 130th St)+Dishwasher+Laundry In Unit+ City View,,"$2,900",harlem / morningside,1/10
Asap move in 2 bed + office 1 bath apt in Williamsburg near Domino Park,,"$4,600",williamsburg,1/10
CO-OP UNIT*SPACIOUS*GARAGE*VERY CLOSE TO SHOPS/RESTAURANTS/RR*,,"$2,100",white plains,1/10
Spectacular & spacious Studio with stunning panoramic views of the cit,,"$3,500",financial district,1/10
AMAZING 2 bed plus HUGE basment @ PRIME BUSHWICK!! **No fee**,,"$3,300",brooklyn,1/10
GORGEOUS 3 bed 3 bath @ GREENWOOD!! W/D in unit,,"$3,400",brooklyn,1/10
SPACIOUS 2 bed @ BUSHWICK with GYM/ BACKYARD/ WIFI!! No fee,,"$2,700",brooklyn,1/10
Steps to Pratt!! 4 Bed-2 Bth🔥,,"$4,765",clinton hill,1/10
[$2375} 1 BR Studio💎EIK + move in ready 🏬 👁 g&e included,,"$2,375",upper east side,1/10
AWESOME 2-3 BEDROOM APARTMENT,,"$2,350",new york city,1/10
3 bd apartment for rent,,"$2,500",rockaway park,1/10
🟥Williamsburg🟩NEW LARGE 3BR/3BATH/Laundry in Apt. G/L/J/M/Z Train,,"$4,999",williamsburg,1/10
Remodeled 3 bedrooms,,"$3,150",bronx,1/10
Totally remodeled 2 bedrooms,,"$2,950",bronx,1/10
Prospect Heights duplex with dishwasher & shared backyard!,,"$3,600",prospect heights,1/10
