recipe_id,recipe_name,calories,protein,fat,carbs,protein_proportion,fat_proportion,carbs_proportion,quality_list,vegan,vegetarian,gluten_free,sugar_free,pork_free,alcohol_free,dairy_free,nut_free,fish_free,shellfish_free,kosher,pescatarian,inactive_time_in_minutes,active_time_in_minutes,protein_g_per_unit,fat_g_per_unit,carbs_g_per_unit
2,potato%20salad,1467.6780143179315000,25.0626366443221300,61.9295650506807500,208.2778619475801300,0.08488038487592776000,0.20973871948510478000,0.70538089563896740000," vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,1,1,0,1,1,1,1,1,1,1,1,780,15,4.17710610738702100000,10.32159417511345900000,34.71297699126335000000
5,buttermilk%20biscuits,1674.6842500726580000,34.4130624999999950,79.6043875000000000,204.0562750379741000,0.10819209444568707000,0.25027023999073240000,0.64153766556358050000," vegetarian  sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,0,1,1,1,0,1,1,1,1,1,20,21,3.44130624999999930000,7.96043875000000000000,20.40562750379741000000
6,baharat,324.9460004974007500,5.3793950119172040,2.4950366949048640,103.4989784204353400,0.04830053246794368400,0.02240244500059742500,0.92929702253145900000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,0,5,2.68969750595860200000,1.24751834745243200000,51.74948921021767000000
13,baked%20apples,2050.3878691917394000,11.5610461697503770,99.1694419294407200,292.7704315318144000,0.02865184589993686300,0.24577253013482458000,0.72557562396523870000," vegetarian gluten_free  pork_free alcohol_free   fish_free shellfish_free kosher ",0,1,1,0,1,1,0,0,1,1,1,1,50,30,2.89026154243759400000,24.79236048236018000000,73.19260788295360000000
20,braised%20carrots,1115.9687500000000000,38.7110275000000000,32.3352825000000000,188.6111850000000000,0.14908496094056517000,0.12453051855868821000,0.72638452050074650000,"  gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,1,1,0,1,1,1,0,0,40,16,9.67775687500000000000,8.08382062500000000000,47.15279625000000000000
26,brussels%20sprouts%20with%20bacon%20and%20cheese,1561.8880065751903000,58.7280223101449400,117.8480045033642000,76.2937539386428400,0.23224610760313297000,0.46604226156573386000,0.30171163083113306000,"  gluten_free sugar_free  alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,0,1,0,1,1,1,0,0,0,22,14.68200557753623400000,29.46200112584105000000,19.07343848466071000000
38,caesar%20salad,1642.2422367020447000,53.0462299934040050,120.5524708382322500,95.7497806511952700,0.19694274755651522000,0.44757063479459920000,0.35548661764888556000,"   sugar_free pork_free alcohol_free  nut_free  shellfish_free  ",0,0,0,1,1,1,0,1,0,1,0,1,10,8,13.26155749835100100000,30.13811770955806300000,23.93744516279881700000
39,croutons,910.4720000000000000,18.7847250000000000,75.2675000000000100,45.8744699999999950,0.13424689977848758000,0.53790665176505460000,0.32784644845645780000," vegetarian  sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,0,1,1,1,0,1,1,1,1,1,0,13,0.75138900000000010000,3.01070000000000040000,1.83497879999999980000
40,chai%20masala,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,0,6,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
41,old%20fashioned,240.3435907203891300,1.4421923999704420,0.1985771999113262,27.2002028648167840,0.05000498515560425000,0.00688524633329841200,0.94310976851109740000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,2,1.44219239997044200000,0.19857719991132616000,27.20020286481678400000
