,value,exog
2023-01-01,0.24998332687444816,0
2023-01-02,0.28953140068275296,0
2023-01-03,0.5606324739578074,0
2023-01-04,1.8603712618391368,0
2023-01-05,0.3323024017537656,0
2023-01-06,0.47632789032086176,0
2023-01-07,1.776319297127746,0
2023-01-08,-0.10456054253073882,0
2023-01-09,-0.35208096764887864,0
2023-01-10,1.7669725310496265,0
2023-01-11,1.7189172161992485,0
2023-01-12,1.9236888543358441,0
2023-01-13,-0.48462864151275087,0
2023-01-14,-0.0662462139096085,0
2023-01-15,0.8925309275860743,0
2023-01-16,1.0556958767544997,0
2023-01-17,1.8972750831100513,0
2023-01-18,2.301883192247625,0
2023-01-19,1.950986981222341,0
2023-01-20,2.7410137046367558,0
2023-01-21,1.285548683076627,0
2023-01-22,3.521988551311946,0
2023-01-23,1.8582468552021614,0
2023-01-24,0.8650382263904395,0
2023-01-25,3.7744655388949058,0
2023-01-26,2.324871958389862,0
2023-01-27,2.821520617934008,0
2023-01-28,1.6765081072709176,0
2023-01-29,-0.6650099023308764,0
2023-01-30,1.9396327744114037,0
2023-01-31,1.9698617749145284,0
2023-02-01,2.1793734510173413,0
2023-02-02,2.2442529376962983,0
2023-02-03,0.7852122982671841,0
2023-02-04,2.3152217335565672,0
2023-02-05,0.6002282369896621,0
2023-02-06,1.191749732004553,0
2023-02-07,2.7310661919990316,0
2023-02-08,1.254301514183606,0
2023-02-09,2.3267324410659946,0
2023-02-10,2.184981528628875,0
2023-02-11,3.486237771530796,0
2023-02-12,2.8920876139764298,0
2023-02-13,3.497914924557796,0
2023-02-14,3.2209860618802884,0
2023-02-15,4.782456095094172,0
2023-02-16,1.3421623757984984,0
2023-02-17,3.759759902158658,0
2023-02-18,3.8887387531772606,0
2023-02-19,3.3954761480061646,0
2023-02-20,2.953921266555365,0
2023-02-21,2.280966082661119,0
2023-02-22,2.426521592225031,0
2023-02-23,2.9040606751950793,0
2023-02-24,1.394926830633118,0
2023-02-25,1.2459980915864022,0
2023-02-26,4.647648618515622,0
2023-02-27,3.9459114235234556,0
2023-02-28,6.2774760320714815,0
2023-03-01,2.4424660218127947,0
2023-03-02,6.0009441865891056,1
2023-03-03,4.768532539864701,1
2023-03-04,6.285497996108166,1
2023-03-05,7.420146915890959,1
2023-03-06,7.87052414017087,1
2023-03-07,6.333282659688482,1
2023-03-08,7.077304665443515,1
2023-03-09,8.032172655285946,1
2023-03-10,7.251811984446484,1
2023-03-11,4.991382243655581,1
2023-03-12,6.391925094986329,1
2023-03-13,8.56346044509961,1
2023-03-14,8.291848475546324,1
2023-03-15,6.8922932352352895,1
2023-03-16,7.188112525449311,1
2023-03-17,8.642025262028989,1
2023-03-18,7.260204301626159,1
2023-03-19,7.220392296444252,1
2023-03-20,6.7369151107346195,1
2023-03-21,8.132381842176162,1
2023-03-22,3.9999760003656175,0
2023-03-23,3.5168093555080686,0
2023-03-24,5.644572923798284,0
2023-03-25,5.139612736363039,0
2023-03-26,1.3029743820310449,0
2023-03-27,3.604656240680764,0
2023-03-28,3.4501544647187217,0
2023-03-29,4.470321432376613,0
2023-03-30,4.721506056197085,0
2023-03-31,4.879968595358866,0
2023-04-01,4.186411911577405,0
2023-04-02,3.751517889339516,0
2023-04-03,2.85173537829151,0
2023-04-04,4.984508005483696,0
2023-04-05,3.665031704321501,0
2023-04-06,3.401935791654439,0
2023-04-07,3.7183310946643107,0
2023-04-08,2.630554612923982,0
2023-04-09,5.472548108496541,0
2023-04-10,3.0851019484552977,0
2023-04-11,2.0513943313111067,0
2023-04-12,4.4233638839060605,0
2023-04-13,3.0281385505222715,0
2023-04-14,3.3772878681725045,0
2023-04-15,3.0316845379091086,0
2023-04-16,3.4527882167505184,0
2023-04-17,2.2223660495484814,0
2023-04-18,2.4348309737480767,0
2023-04-19,3.4099989000791857,0
2023-04-20,3.8715320271491995,0
2023-04-21,1.458200188589763,0
2023-04-22,3.5412109486401793,0
2023-04-23,2.7509083954481,0
2023-04-24,3.697453394364757,0
2023-04-25,2.972745406220288,0
2023-04-26,4.157698437563789,0
2023-04-27,2.98996261299225,0
2023-04-28,3.6087745014033366,0
2023-04-29,1.9275541787119965,0
2023-04-30,4.180081103531826,0
2023-05-01,2.9687292689158,0
2023-05-02,3.6827500901629744,0
2023-05-03,3.118055377044221,0
2023-05-04,3.3506233718899865,0
2023-05-05,3.006554096004068,0
2023-05-06,1.9685600423494007,0
2023-05-07,3.4435889537210063,0
2023-05-08,2.4209421207563935,0
2023-05-09,2.941557103750522,0
2023-05-10,3.235282170267665,0
2023-05-11,4.718732963448143,0
2023-05-12,4.068886739628545,0
2023-05-13,2.109746531035209,0
2023-05-14,3.641003815384195,0
2023-05-15,1.793607106832623,0
2023-05-16,2.500473888197592,0
2023-05-17,2.4742734719361517,0
2023-05-18,3.0048254503418645,0
2023-05-19,1.9862717332378628,0
2023-05-20,1.5601365043135407,0
2023-05-21,7.0239734437218715,1
2023-05-22,4.153743596107876,1
2023-05-23,4.476821125003921,1
2023-05-24,7.637006014092879,1
2023-05-25,4.782529504860225,1
2023-05-26,7.603849081559339,1
2023-05-27,5.226421456581194,1
