,value,exog
2023-01-01,-0.489603691012584,0
2023-01-02,-0.09357146466161048,0
2023-01-03,-0.38155826966973905,0
2023-01-04,0.4647995714602779,0
2023-01-05,0.7935689452264888,0
2023-01-06,2.7078676763676786,0
2023-01-07,1.5833344835865732,0
2023-01-08,2.1586762810054925,0
2023-01-09,2.8346613391408546,0
2023-01-10,1.4389094468662509,0
2023-01-11,1.2492948821935943,0
2023-01-12,3.2504557584834632,0
2023-01-13,2.418838122451436,0
2023-01-14,3.339780127953738,0
2023-01-15,4.759841042278343,0
2023-01-16,6.992049840003033,0
2023-01-17,5.22419355873909,0
2023-01-18,4.236110719893253,0
2023-01-19,5.308744925569014,0
2023-01-20,3.870881530209119,0
2023-01-21,4.139108535526033,0
2023-01-22,4.8651730563692075,0
2023-01-23,4.543493339283508,0
2023-01-24,4.0010645372375375,0
2023-01-25,2.8254461901058017,0
2023-01-26,3.2424434647752474,0
2023-01-27,4.411080181422263,0
2023-01-28,4.8716947420009475,0
2023-01-29,3.287620108811832,0
2023-01-30,3.735945631540929,0
2023-01-31,4.251974948153599,0
2023-02-01,2.7696634773633937,0
2023-02-02,4.031659390141003,0
2023-02-03,4.979796634271427,0
2023-02-04,4.29565387987539,0
2023-02-05,1.9244638027823306,0
2023-02-06,2.3816975775814364,0
2023-02-07,2.264933574122242,0
2023-02-08,2.336585520129201,0
2023-02-09,1.7273126096234583,0
2023-02-10,1.9723529903780983,0
2023-02-11,3.800675173471369,0
2023-02-12,1.5863565438874077,0
2023-02-13,0.5171666604277193,0
2023-02-14,2.0544849717926277,0
2023-02-15,2.078050313602314,0
2023-02-16,0.9404082267365921,0
2023-02-17,0.07464609690479757,0
2023-02-18,0.04983838987749574,0
2023-02-19,0.19821410312255372,0
2023-02-20,0.6603617658406474,0
2023-02-21,-0.9727595965589717,0
2023-02-22,-1.342088461518848,0
2023-02-23,-2.1388425952840335,0
2023-02-24,-2.118870922583975,0
2023-02-25,-1.8973313843275157,0
2023-02-26,-2.771082312790167,0
2023-02-27,-2.0148923528904494,0
2023-02-28,-5.534602119207853,0
2023-03-01,-3.8003417460371507,0
2023-03-02,-0.7997100890632962,0
2023-03-03,-3.682848541181616,0
2023-03-04,-2.0066704016042376,0
2023-03-05,-1.721234616724324,0
2023-03-06,-1.8169259252636754,0
2023-03-07,-2.4797153605411553,0
2023-03-08,-4.578084021810841,0
2023-03-09,-2.4726503390353995,0
2023-03-10,-2.2141930241488725,0
2023-03-11,-3.694983705897866,0
2023-03-12,-1.3850822373400375,0
2023-03-13,-2.728251505300388,0
2023-03-14,-1.727442526982688,0
2023-03-15,-2.8604500840447384,0
2023-03-16,-4.128532331971233,0
2023-03-17,-1.4619228174052834,0
2023-03-18,-1.1302121911823662,0
2023-03-19,-3.0482230622207105,0
2023-03-20,-2.553657960671132,0
2023-03-21,-1.3789394581793282,0
2023-03-22,6.096228328431787,1
2023-03-23,7.449824843198925,1
2023-03-24,9.020872221593537,1
2023-03-25,7.096495907218017,1
2023-03-26,6.345100902939786,1
2023-03-27,8.752542459135036,1
2023-03-28,8.726138999146103,1
2023-03-29,8.310098492913882,1
2023-03-30,9.461576014462697,1
2023-03-31,10.817832254372417,1
2023-04-01,10.768734205051956,1
2023-04-02,9.300216428821702,1
2023-04-03,10.562364699836149,1
2023-04-04,10.84292981916151,1
2023-04-05,10.803360341473228,1
2023-04-06,10.238537837414174,1
2023-04-07,10.369872979662503,1
2023-04-08,11.249367324439008,1
2023-04-09,11.366823246570757,1
2023-04-10,14.054605905017416,1
2023-04-11,12.436379987377897,1
2023-04-12,13.837250808032671,1
2023-04-13,12.529497392963084,1
2023-04-14,12.108333355972658,1
2023-04-15,15.117904491864117,1
2023-04-16,13.4617775901444,1
2023-04-17,13.671677751666316,1
2023-04-18,12.901129348961572,1
2023-04-19,15.532187110408367,1
2023-04-20,13.789365079246426,1
2023-04-21,13.182807011131052,1
2023-04-22,13.776609849753804,1
2023-04-23,15.136553664873764,1
2023-04-24,14.20083724282959,1
2023-04-25,15.052581951173305,1
2023-04-26,13.587176867635709,1
2023-04-27,14.306256436211882,1
2023-04-28,14.719821163786513,1
2023-04-29,13.060441581216143,1
2023-04-30,13.688419570812869,1
2023-05-01,5.202060347018809,0
2023-05-02,3.836430674662572,0
2023-05-03,5.81767407473818,0
2023-05-04,4.649889406984144,0
2023-05-05,4.67406706192608,0
2023-05-06,4.7845492630117965,0
2023-05-07,3.57376720898088,0
2023-05-08,4.439121631306758,0
2023-05-09,4.703796568273347,0
2023-05-10,4.339374190238851,0
2023-05-11,4.209149930423402,0
2023-05-12,3.4554833267473626,0
2023-05-13,1.818936075015178,0
2023-05-14,2.1465624346169307,0
2023-05-15,3.997150018983652,0
2023-05-16,2.6683913161071247,0
2023-05-17,1.439470842256573,0
2023-05-18,1.29811657102702,0
2023-05-19,1.583268863557826,0
2023-05-20,1.851939520864473,0
2023-05-21,0.21395049448567127,0
2023-05-22,0.8689455752067435,0
2023-05-23,1.0290178719965666,0
2023-05-24,0.3893535807123457,0
2023-05-25,-0.03222256209545993,0
2023-05-26,0.3222524608463231,0
2023-05-27,-2.132817382972462,0
2023-05-28,-1.5768832246377948,0
2023-05-29,-0.6484822250456618,0
2023-05-30,0.14852402706747336,0
2023-05-31,-1.6438973910005044,0
2023-06-01,-0.4970272232928572,0
2023-06-02,-0.3735344906218022,0
2023-06-03,-0.38296812682083226,0
2023-06-04,-1.5738286419917817,0
2023-06-05,-2.638141748283675,0
2023-06-06,-0.9208406374141336,0
2023-06-07,-2.379513674524842,0
2023-06-08,-0.670261646566812,0
2023-06-09,-2.547503125821298,0
2023-06-10,-2.635327149596277,0
2023-06-11,0.445526874318545,0
2023-06-12,0.5256055321487927,0
2023-06-13,-0.1308878053266832,0
2023-06-14,-0.3477891957223498,0
2023-06-15,-1.5058472886080785,0
2023-06-16,0.6654927827774253,0
2023-06-17,-0.24939757766509343,0
2023-06-18,-0.6851823709534939,0
2023-06-19,0.8416738351071373,0
2023-06-20,-0.09527317780198508,0
2023-06-21,-0.19653947693312368,0
2023-06-22,1.5700762452048385,0
2023-06-23,2.5541942896576644,0
2023-06-24,1.5130584000325211,0
2023-06-25,1.3577116946693024,0
2023-06-26,1.9560015436888456,0
2023-06-27,1.695931792327563,0
2023-06-28,0.8191328989636895,0
2023-06-29,4.698086647499837,0
2023-06-30,1.6286026657383126,0
2023-07-01,5.3550199453452265,0
2023-07-02,4.837588382333164,0
2023-07-03,4.59253311045761,0
2023-07-04,4.951866504404524,0
2023-07-05,4.613339632555104,0
2023-07-06,6.39611822716373,0
2023-07-07,4.132834383943385,0
2023-07-08,7.7550168688557175,0
2023-07-09,4.220186550084694,0
2023-07-10,3.4402283256095214,0
2023-07-11,5.198765604668523,0
2023-07-12,5.733042118473216,0
2023-07-13,5.27072861445581,0
2023-07-14,7.4619924011934256,0
2023-07-15,7.0078936198103134,0
2023-07-16,7.4230810258080435,0
2023-07-17,7.177240956312921,0
2023-07-18,7.398259193651871,0
2023-07-19,8.306557487918555,0
2023-07-20,16.3153630612509,1
2023-07-21,15.599616106349421,1
2023-07-22,15.91838831087298,1
2023-07-23,15.452084918031124,1
2023-07-24,14.830283485249591,1
2023-07-25,14.317891932492675,1
2023-07-26,15.921638220280713,1
2023-07-27,14.952446606628351,1
2023-07-28,13.509419515789071,1
2023-07-29,15.44236056037273,1
2023-07-30,15.670560616774301,1
2023-07-31,15.254531636293546,1
2023-08-01,13.26722398294873,1
2023-08-02,14.120551580143793,1
2023-08-03,14.89729091798608,1
2023-08-04,14.130200406951962,1
2023-08-05,13.129040338697127,1
2023-08-06,15.003011367801683,1
2023-08-07,11.956072946265053,1
2023-08-08,11.595859403709634,1
2023-08-09,12.651855934010268,1
2023-08-10,13.226402438700571,1
2023-08-11,10.943484444656173,1
2023-08-12,14.234602751569742,1
2023-08-13,12.426283371760661,1
2023-08-14,12.669358608919998,1
2023-08-15,11.146689541523859,1
2023-08-16,11.116845417985491,1
2023-08-17,10.067284416568892,1
2023-08-18,11.594299013750723,1
2023-08-19,11.147589114372948,1
2023-08-20,10.815346425336049,1
2023-08-21,10.05677879138984,1
